,title,studios,type,genres,ratio_rank,completed_count,start_date,anime_id
0,Touma Kishinden Oni,J.C.Staff,TV,Supernatural,,173,1995,2366
1,Sabaku no Kaizoku! Captain Kuppa,,TV,Action|Adventure,,124,2001,4940
2,On Air Dekinai!,Space Neko Company|Jinnan Studio,TV,Comedy,,0,2022,50285
3,Uchi no 3 Shimai,Toei Animation|Daewon Media,TV,Comedy|Slice of Life,,163,2008,3975
4,Running Man,,TV,Action|Adventure|Kids,,47,2017,36036
5,Watanuki-san Chi to,,TV,Slice of Life,,113,2020,41426
6,Shuimu Xuetang 2nd Season,,TV,Comedy|Kids,,17,2009,49065
7,Canimals,,TV,Comedy|Kids,,47,2011,48335
8,Panpaka Pants O-New!,DLE,TV,Comedy|Kids,,78,2015,30417
9,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,,TV,Sci-Fi|Sports|Super Power|Kids,,83,2018,38138
10,Fuwafuwa Hour: Pui Pui & Muu Muu,,TV,Fantasy|Kids,,0,2017,36506
11,Space Bug,Studio W.Baba|P.I.C.S.,TV,Adventure|Space,,112,2018,37787
12,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,,TV,Action|Adventure|Comedy|Fantasy|Romance,,0,2022,47164
13,Bakujuu Gasshin Ziguru Hazeru,Production Reed,TV,Action|Mecha,,110,2013,18227
14,Miracle! Mimika,Digital Media Lab,TV,Gourmet|Slice of Life|Kids,,123,2006,5374
15,Fuwa no go renkan,,TV,Historical,,30,2007,40273
16,Norimono Man: Mobile Land no Car-kun,CloverWorks,TV,Comedy|Slice of Life|Cars|Kids,,0,2020,41384
17,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou 2nd Season Part 2",SILVER LINK.,TV,Action|Fantasy|Demons|School,,0,0,48418
18,Grisaia: Phantom Trigger the Animation (TV),Bibury Animation Studios,TV,Action|School,,0,0,51119
19,Akindo Sei no Little Peso,Fanworks,TV,Comedy|Sci-Fi,,98,2017,34928
20,RPG Fudousan,Doga Kobo,TV,Comedy|Fantasy|Slice of Life,,0,2022,48363
21,Kindan Joshi,,TV,Comedy|Romance,,134,2020,45596
22,Kick & Slide,,TV,Music|Kids,,64,2021,49221
23,Hyouga Senshi Gaislugger,Toei Animation,TV,Action|Sci-Fi|Mecha,,164,1977,9781
24,Hyper Positive Yogoremon,FIREBUG,TV,Comedy,,61,2021,48770
25,Chuldong! Super Wings,,TV,Adventure|Cars|Kids,,145,2013,38525
26,Caribadix 2nd Season,,TV,Comedy|Music,,54,2018,37653
27,Uwabaki Cook no Tekitou Uranai!,,TV,Comedy,,92,2015,30605
28,Jashin-chan Dropkick X,,TV,Comedy|Supernatural,,0,2022,42994
29,Isekai Shoukan wa Nidome desu,,TV,Action|Adventure|Comedy|Fantasy|Romance|Harem,,0,0,50220
30,Sai Er Hao Season 11: Liekong Canghai,,TV,Kids,,15,2021,49920
31,Totsugeki! Pappara-tai,Magic Bus,TV,Action|Adventure|Comedy|Romance|Sci-Fi,,153,1998,5278
32,"Komi-san wa, Comyushou desu. 2nd Season",,TV,Comedy|Drama|Slice of Life|School|Shounen,,0,2022,50631
33,Kawauso Labo,Kachidoki Studio,TV,Comedy,,37,2019,39007
34,Poccolies,Kachidoki Studio,TV,Slice of Life|Kids,,42,2020,41101
35,Otona no Ikkyuu-san 2nd Season,,TV,Comedy|Historical,,57,2017,36002
36,Pink Lady Monogatari: Eikou no Tenshi-tachi,Toei Animation,TV,Drama|Slice of Life|Music,,86,1978,17423
37,Ninja Tamamaru: Toukaidou Gojuusan-ji,,TV,Martial Arts|Kids,,41,2009,35108
38,Kyuumei Senshi Nanosaver,,TV,Adventure|Shounen,,76,1997,27393
39,Wankorobee,Ajia-Do|TMS Entertainment,TV,Comedy|Fantasy|Kids,,74,1996,2708
40,"Anoyo no Subete wa, Obake-gumi!",,TV,Comedy|Supernatural,,36,2020,41440
41,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,TV,Comedy|Slice of Life,,0,2012,30151
42,Zhu Zhu Xia: Zhong Ji Jue Zhan - Qian Ye Pian,,TV,Sci-Fi|Super Power|Kids,,85,2015,38136
43,Chi-Sui Maru,,TV,Comedy,,117,2010,8025
44,Telemonster,,TV,Adventure,,56,2016,32585
45,Kkoma Sinseon Tao,,TV,Kids,,56,2009,35364
46,Hataraku Maou-sama! 2nd Season,Studio 3Hz,TV,Comedy|Fantasy|Romance|Supernatural|Demons,,0,2022,48413
47,Neko no Nyagh: Nya Misérables,TMS Entertainment,TV,Game|Kids,,103,2019,38857
48,Paripi Koumei,P.A. Works,TV,Comedy,,0,2022,50380
49,Yofukashi no Uta,LIDENFILMS,TV,Romance|Supernatural|Vampire|Shounen,,0,2022,50346
50,Bakutsuri Bar Hunter,Toei Animation|Gallop,TV,Adventure|Kids,,70,2018,37117
51,Love All Play,Nippon Animation|OLM,TV,Sports,,0,2022,49556
52,Gunma-chan,,TV,Slice of Life,,30,2021,49184
53,Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,DLE,TV,Comedy|Supernatural,,101,2016,34309
54,Jingju Mao Zhi Xinnian de Maoxian,Dazzling Star,TV,Action|Adventure|Comedy|Fantasy|Kids,,34,2017,42144
55,Hello Jadoo,,TV,Slice of Life,,120,2011,35920
56,Kami wa Game ni Ueteiru.,,TV,Fantasy|Ecchi|Game,,0,0,50869
57,Isekai Meikyuu de Harem wo,,TV,Action|Adventure|Fantasy|Romance|Harem,,0,2022,44524
58,Technoroid: Overmind,Doga Kobo,TV,Music,,0,2022,50284
59,Gifu no Tatekayoko,,TV,Comedy|Kids,,29,2019,39664
60,Mairimashita! Iruma-kun 3rd Season,,TV,Comedy|Fantasy|Supernatural|Demons|School|Shounen,,0,2022,49784
61,Ayakashi Triangle,,TV,Action|Comedy|Romance|Ecchi|Shounen,,0,0,50606
62,Mononogatari,,TV,Action|Supernatural|Seinen,,0,0,50384
63,Mon Cheri CoCo,,TV,Romance|Shoujo,,118,1972,22893
64,Ohayou Hakushon Daimaou,Kate Arrow,TV,Comedy|Parody,,114,2014,38363
65,Titipo Titipo,,TV,Cars|Kids,,83,2018,38075
66,Zhandou Wang Zhi Jufeng Zhan Hun 5: Heti Fanwai Pian,Alpha Animation,TV,Action|Kids,,35,2019,42979
67,Rainbow Ruby,,TV,Fantasy|Kids,,28,2017,41277
68,Duel Masters!!,Brain's Base|Shogakukan Music & Digital Entertainment,TV,Action|Adventure|Comedy|Fantasy|Kids,,145,2019,39039
69,Hei Mao Jing Zhang (1992),Shanghai Animation Film Studio,TV,Action|Adventure|Comedy|Cars|Police|Kids,,157,1992,34511
70,Budai Xiao Heshang,,TV,Kids,,6,2014,47998
71,Sigan Yeohaengja Luke,,TV,Action|Adventure|Sci-Fi|Kids,,18,2020,48262
72,UFO Senshi Dai Apolon 2,Eiken|Studio Live,TV,Action|Sci-Fi|Mecha,,139,1976,10815
73,Mobile Suit Gundam: The Witch from Mercury,,TV,Mecha,,0,2022,49828
74,Tensei shitara Ken Deshita,,TV,Action|Fantasy,,0,0,49891
75,Tomodachi no Imouto ga Ore ni dake Uzai,,TV,Comedy|Romance|School,,0,0,47158
76,Xiao Hua Xian,Taomee,TV,Kids,,90,2014,37225
77,Karaoke Senshi Mike-tarou,,TV,Music|Kids,,126,1994,5140
78,Manga Nihon Keizai Nyuumon,Knack Productions,TV,Drama|Slice of Life|Historical|Seinen,,83,1987,10709
79,Chainsaw Man,MAPPA,TV,Action|Adventure|Demons|Shounen,,0,2022,44511
80,Love Live! Superstar!! 2nd Season,Sunrise,TV,Slice of Life|Music|School,,0,2022,50203
81,Capsule Boy,,TV,Sci-Fi|Kids,,57,2016,34664
82,ColoColo Animal Otogibanashi,Milky Cartoon,TV,Comedy|Kids,,22,2021,48789
83,Chara to Otamajakushi Shima,33 Collective,TV,Adventure|Fantasy|Kids,,34,2018,37428
84,Catch! Tiniping,,TV,Fantasy|School|Kids,,33,2020,48343
85,Muzumuzu Eighteen,,TV,Slice of Life,,42,2016,33479
86,Capsule Boy 2: Ujuleul Jikyeola,,TV,Sci-Fi|Kids,,27,2019,39012
87,Apple Candy Girl,,TV,Kids,,9,2006,48288
88,Xia Lan,Beijing Rocen Digital,TV,Action|Adventure|Drama|Fantasy|Supernatural|Historical|Martial Arts,,134,2012,34129
89,Zhu Zhu Xia: Konglong Riji,,TV,Sci-Fi|Historical|Super Power|Kids,,75,2019,39798
90,Ma-eum-uisoli,,TV,Comedy|Slice of Life,,9,2016,49326
91,Ma-eum-uisoli Season 3,,TV,Comedy|Slice of Life,,5,2021,50998
92,Machikado Mazoku: 2-choume,J.C.Staff,TV,Comedy|Slice of Life,,0,2022,42745
93,Bocchi the Rock!,,TV,Comedy|Slice of Life|Music,,0,2022,47917
94,Sai Er Hao Season 4: Zhanshen Fengyun Jue,,TV,Kids,,15,2015,44146
95,"Ijiranaide, Nagatoro-san 2nd Season",,TV,Comedy|Romance|Slice of Life,,0,0,50197
96,Vazzrock The Animation,,TV,Music,,0,2022,43771
97,Kanashiki Debu Neko-chan,Cyclone Graphics,TV,Slice of Life,,58,2021,49431
98,Chickip Dancers,Fanworks,TV,Slice of Life,,0,2021,47623
99,Ongaku Sekai Ryokou,,TV,Music|Kids,,45,2011,29435
100,Yowamushi Monsters,,TV,Kids,,0,2012,30119
101,Tian Xin Ge Ge,Puzzle Animation Studio Limited,TV,Comedy|Historical|Kids,,129,2011,33739
102,Kekkero Ke,Production I.G,TV,Comedy,,32,2018,37359
103,Jingju Mao Zhi Cheng Feng Polang,Dazzling Star,TV,Action|Adventure|Comedy|Fantasy|Martial Arts|Kids,,30,2018,42146
104,Huoli Shaonian Wang zhi Chuanqi Zaixian,,TV,Fantasy|Game|Kids,,133,2014,35643
105,Kemy,,TV,Kids,,51,2011,34666
106,Manul no Yuube,,TV,Slice of Life,,0,2018,38776
107,Kami Kuzu☆Idol,,TV,Comedy|Supernatural|Music|Josei,,0,2022,50470
108,Sasurai-kun,Shin-Ei Animation,TV,Comedy|Slice of Life,,79,1992,27681
109,Teikou Penguin,,TV,Work Life,,0,2022,50522
110,Black★★Rock Shooter:Dawn Fall,Bibury Animation Studios|Bibury Animation CG,TV,Action|Drama|Super Power,,0,2022,49831
111,Shin Bikkuriman,Toei Animation,TV,Comedy|Fantasy,,133,1989,9885
112,Gan Gan Ganko-chan 2nd Season,10Gauge,TV,Comedy|Sci-Fi|Kids,,49,2018,37244
113,Ganbare-bu Next!,Doga Kobo,TV,Comedy|Sports,,56,2015,31237
114,Kkoma Bus Tayo 3,,TV,Cars|Kids,,114,2014,38072
115,The Snack World (TV),OLM|OLM Digital,TV,Adventure|Comedy|Fantasy|Kids,,77,2017,32596
116,Awajishima no Shichifukujin,,TV,Comedy|Supernatural|Kids,,14,2020,42998
117,Nu Sheng Su She Ri Chang,,TV,Comedy|Slice of Life,,41,2016,37927
118,Shiawase Haitatsu Taneko,Kachidoki Studio,TV,Comedy,,0,2011,10506
119,Otoppe,,TV,Fantasy|Music|Kids,,0,2017,35372
120,Oretacha Youkai Ningen G,DLE,TV,Horror|Demons|Parody,,115,2018,37559
121,Nyanfuru,MMDGP,TV,Comedy|Music,,45,2014,24845
122,Nanatsu no Maken ga Shihai suru,,TV,Action|Fantasy|School,,0,0,50582
123,Tamagotchi! Tamatomo Daishuu GO,OLM,TV,Comedy|Fantasy|Kids,,122,2015,30232
124,Kaguya-sama wa Kokurasetai: Ultra Romantic,A-1 Pictures,TV,Comedy|Romance|Psychological|School|Seinen,,0,2022,43608
125,Gonglyong Mecard,,TV,Adventure|Cars|Game|Mecha|Kids,,89,2017,37752
126,Susume! Dokan-kun,DLE,TV,Comedy|Mecha,,38,2007,38568
127,Kaoru no Taisetsu na Mono,Kachidoki Studio,TV,Comedy,,18,2020,43416
128,Kirakira Shougakusei Celeb-chan,,TV,Comedy|Parody,,33,2007,41156
129,ColoColo Animal ABC@Kin Tele,Milky Cartoon,TV,Comedy|Kids,,11,2019,40589
130,Yura Yura Suizokukan,Kachidoki Studio,TV,Comedy|Slice of Life,,73,2017,35957
131,Hinomaru!,,TV,Adventure|Comedy|Fantasy,,59,2017,36231
132,Shima Kousaku no Asia Risshi-den,,TV,Drama|Seinen,,56,2013,33538
133,Usagi no Matthew,Kachidoki Studio,TV,Slice of Life,,33,2018,37467
134,Tomodachi Game,Okuruto Noboru,TV,Game|Psychological|Shounen,,0,2022,50273
135,Noramimi 2,,TV,Comedy,,103,2008,5089
136,Bleach: Sennen Kessen-hen,,TV,Action|Adventure|Comedy|Supernatural|Super Power|Shounen,,0,2022,41467
137,Skip to Loafer,,TV,Slice of Life|School|Seinen,,0,0,50416
138,Ice Kuritarou,,TV,Kids,,26,2017,37951
139,Healer Girl,Studio 3Hz,TV,Music,,0,2022,48857
140,Turning Mecard W: Vandyne-ui Bimil,,TV,Adventure|Cars|Game|Mecha|Kids,,93,2017,37750
141,Shuukan Storyland,Satelight,TV,Comedy|Drama|Slice of Life|Seinen,,115,1999,13551
142,Koto Nakare Hero Gingerman,Kenji Studio,TV,Comedy,,61,2009,33123
143,Konigiri-kun,,TV,Kids,,0,2015,35696
144,Chimimo,Shin-Ei Animation,TV,Comedy|Demons,,0,2022,50985
145,Kuma Kuma Kuma Bear 2nd Season,,TV,Adventure|Comedy|Fantasy,,0,0,45486
146,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 3rd Season,,TV,Drama|Psychological|School,,0,2023,51180
147,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. II,,TV,Action|Adventure|Comedy|Fantasy|Sci-Fi,,0,2022,41514
148,Saihate no Paladin 2nd Season,,TV,Action|Adventure|Fantasy,,0,0,50664
149,Ocha-ken: Hotto Monogatari,,TV,Slice of Life|Kids,,87,2006,34358
150,Xingji Biaoche Wang,,TV,Action|Adventure|Cars,,116,2006,33670
151,Sakuran Boy DT,,TV,Comedy|Super Power,,110,2009,5810
152,Er Dan Toutai Ji,,TV,Slice of Life,,15,2015,45704
153,Ryuuichi Manga Gekijou Onbu Obake,Eiken,TV,Supernatural,,100,1972,8685
154,Kyoukai Senki Part 2,Sunrise Beyond,TV,Action|Sci-Fi|Mecha,,0,2022,50678
155,Kamiwaza Wanda,TMS Entertainment,TV,Sci-Fi|Kids,,75,2016,32568
156,Xiangpi Ni Xiao Zhen,,TV,Kids,,15,2009,45729
157,Neko to Mata,,TV,Supernatural,,49,2017,35444
158,Doushitemo Eto ni Hairitai,Pollyanna Graphics,TV,Comedy,,119,2015,31555
159,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Studio Kai|HORNETS,TV,Action|Fantasy,,0,2022,48760
160,Kami-tachi ni Hirowareta Otoko 2nd Season,,TV,Adventure|Fantasy|Slice of Life,,0,0,49109
161,Tate no Yuusha no Nariagari Season 3,,TV,Action|Adventure|Drama|Fantasy,,0,0,40357
162,Rail Romanesque 2nd Season,,TV,Slice of Life,,0,0,44583
163,The iDOLM@STER Million Live!,Shirogumi,TV,Music,,0,0,42385
164,Soredemo Ayumu wa Yosetekuru,SILVER LINK.,TV,Comedy|Romance|Slice of Life|School|Shounen,,0,2022,45653
165,Summertime Render,OLM,TV,Mystery|Supernatural|Shounen,,0,2022,47194
166,Jujutsu Kaisen (TV) 2nd Season,,TV,Action|Supernatural|Demons|School|Shounen,,0,2023,51009
167,Okashi na Sabaku no Suna to Manu,Kachidoki Studio,TV,Comedy,,41,2021,45207
168,Noramimi,TMS Entertainment,TV,Comedy,,159,2008,3514
169,Mahoutsukai ni Narenakatta Onnanoko no Hanashi.,J.C.Staff,TV,Drama|Fantasy|Slice of Life|School,,0,0,38585
170,Zhu Zhu Xia: Wu Ling Shou Wei Zhe,,TV,Sci-Fi|Super Power|Kids,,97,2015,38127
171,Gozonji! Kakuza Tousan,,TV,Drama|Cars|Historical|Parody,,33,2007,41117
172,Xiong Chumo: Conglin Zong Dong Yuan,,TV,Comedy|Kids,,109,2013,32819
173,Synostone,,TV,Action|Adventure|Fantasy|Sci-Fi|Kids,,13,2019,48263
174,Xiong Chumo: Chunri Dui Dui Peng,,TV,Adventure|Comedy|Kids,,117,2014,32820
175,Pittanko! Nekozakana,TMS Entertainment|Studio Comet,TV,Comedy|Kids,,40,2016,34235
176,Möbius Dust,Doga Kobo,TV,Action|Game|Kids,,0,0,39473
177,Akachan Honbuchou,Tomovies,TV,Comedy|Work Life|Seinen,,55,2021,48495
178,Shin Dokonjou Gaeru,,TV,Comedy|Slice of Life|Shounen,,133,1981,21487
179,Ocha-ken: Ryokutto Monogatari,,TV,Slice of Life|Kids,,76,2008,34363
180,Semi wa Magic Cube 2nd Season,Durufix,TV,Action|Fantasy,,65,2020,43729
181,Miniforce,,TV,Action|Adventure,,52,2014,35799
182,Yasamura Yasashi no Yasashii Sekai,DLE,TV,Comedy,,64,2016,33933
183,Yukai na Animal Bus 2nd Season,TMS Entertainment,TV,Comedy|Kids,,68,2017,35385
184,Kyoufu! Zombie Neko,Kachidoki Studio,TV,Comedy,,113,2015,31539
185,Kakuza Tousan,,TV,Comedy|Drama|Historical|Parody,,34,2007,41118
186,Komatsu Sakyo Anime Gekijou,Gainax,TV,Comedy|Sci-Fi|Parody|Space,,100,1989,23829
187,Curry no Kuni no Coburoux,Artland,TV,Comedy,,62,2004,35817
188,Cardfight!! Vanguard: overDress Season 4,,TV,Comedy|Game,,0,0,49820
189,Mushikaburi-hime,Madhouse,TV,Drama|Romance|Historical,,0,2022,50923
190,Shinmai Renkinjutsushi no Tenpo Keiei,,TV,Adventure|Fantasy|Slice of Life,,0,0,49849
191,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",Revoroot,TV,Action|Adventure|Fantasy,,0,2022,47163
192,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",SILVER LINK.|Blade,TV,Action|Fantasy|School,,0,2022,48415
193,Poputepipikku 2nd Season,,TV,Comedy|Parody,,0,2022,50663
194,Collar x Malice,,TV,Mystery|Romance|Suspense|Police|Josei,,0,0,39905
195,Library Cross Infinite,,TV,Mystery|Romance|Supernatural|Josei,,0,0,36252
196,Sai Er Hao Season 8: Huanmeng Zhan Ji,,TV,Kids,,11,2017,44151
197,Taeko no Nichijou,DLE,TV,Slice of Life,,68,2019,40423
198,Tonikaku Kawaii 2nd Season,,TV,Comedy|Romance|Shounen,,0,0,50307
199,"""Eikou Naki Tensai-tachi"" Kara no Monogatari",J.C.Staff,TV,Sports,,112,2017,35025
200,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,Lay-duce,TV,School,,0,2022,49692
201,Kotatsu Neko (TV),,TV,Comedy,,100,2009,7189
202,Daifuku-kun@Kin Tele,,TV,Comedy,,36,2018,38427
203,Utau Soccer Panda Mifanda,,TV,Slice of Life|Music,,20,2021,42068
204,Iljimae,,TV,Action|Drama|Romance|Historical,,12,2009,48318
205,Chii-chan to Hige Ojisan,,TV,Slice of Life|Kids,,61,2004,29385
206,Robby to Kerobby,A-1 Pictures,TV,Comedy|Kids,,67,2007,3073
207,Kakugen! Kakuza Tousan,,TV,Comedy|Drama|Historical|Parody,,22,2008,41116
208,Zettai Yareru Greece Shinwa,A-1 Pictures,TV,Comedy|Ecchi,,154,2008,5234
209,Green Saver,,TV,Adventure|Kids,,69,2009,19457
210,Kemy Lang Buka Chaka,,TV,Adventure|Kids,,59,2009,34665
211,Neko Neko Nihonshi 5th Season,,TV,Historical|Parody|Samurai|Kids,,26,2020,41404
212,Eiyuu Densetsu: Sen no Kiseki,,TV,Action,,0,2023,48441
213,Picchipichi Shizuku-chan,,TV,Comedy|Kids,,69,2012,15897
214,Gokyoudai Monogatari,,TV,Comedy,,91,2009,7177
215,Dame Oyaji,Knack Productions,TV,Comedy|Slice of Life,,95,1974,10887
216,Hanasaka Tenshi Tenten-kun,Nippon Animation,TV,Comedy|Fantasy,,110,1998,9811
217,Neko Konogoro,Kachidoki Studio,TV,Comedy,,0,2016,33398
218,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,Project No.9,TV,Comedy|Slice of Life|Supernatural|Shounen,,0,2022,49160
219,Dosukoi Sushi Zumou,Shirogumi,TV,Comedy|Gourmet|Sports|Martial Arts|Kids,,0,2021,48517
220,Sylvanian Families: Mini Story 2nd Season,,TV,Slice of Life|Kids,,62,2018,38560
221,Chaechaepong Kimchi Pong,,TV,Adventure|Fantasy|Kids,,53,2002,37798
222,Kayoe! Chuugaku,DLE,TV,Comedy|School,,93,2011,10797
223,Okawari-Boy Starzan-S,Tatsunoko Production,TV,Action|Adventure|Sci-Fi,,144,1984,8799
224,Rescue Academia,Gaina,TV,Adventure|Sci-Fi,,0,0,34348
225,Oretacha Youkai Ningen,DLE,TV,Horror|Demons|Parody,,165,2017,36135
226,Monkateu,,TV,Action|Adventure|Fantasy|Kids,,64,2017,41667
227,Kkoma Bus Tayo 4,,TV,Cars|Kids,,102,2016,38074
228,Kkoma Sinseon Tao 2,,TV,Kids,,55,2013,35365
229,Azumi Mamma★Mia,Toei Animation,TV,Comedy|Kids,,106,1997,22247
230,Jungle Kurobee,Tokyo Movie Shinsha,TV,Comedy,,116,1973,10889
231,Rose O'Neill Kewpie,TMS Entertainment,TV,Comedy,,64,2009,7211
232,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,Shaft,TV,Sci-Fi|Ecchi|Military|Music,,0,2022,38006
233,Kintamani Dog,,TV,Slice of Life,,6,2021,44702
234,Cocomong 3,,TV,Kids,,55,2015,37945
235,Crystal-yojeong Z-Squad,,TV,Adventure|Fantasy|Kids,,20,2006,48340
236,Hustle Punch,Toei Animation,TV,Comedy|Fantasy|Kids,,126,1965,19681
237,Karakuri Kengou Den Musashi Lord,Studio Pierrot,TV,Action|Adventure|Mecha,,166,1990,8065
238,Hua Huli Yu Daodan Ya,,TV,Kids,,8,2011,48076
239,Beads no Mori no Rabi,,TV,Kids,,0,2015,35697
240,Ma-eum-uisoli Season 2,,TV,Comedy|Slice of Life,,6,2020,50997
241,Jim Button,Eiken,TV,Adventure|Fantasy|Kids,,142,1974,6701
242,Hero Hero-kun,Studio Flag|Studio Bogey,TV,Adventure|Comedy|Game|Kids,,106,2000,11203
243,Mouretsu Atarou (1990),Toei Animation,TV,Comedy|Slice of Life|Kids,,95,1990,12391
244,KutsuDaru.,Egg,TV,Fantasy|Slice of Life|School|Kids,,101,2014,22465
245,Zettai Zetsumei Dangerous Jiisan (2004),Studio Hibari,TV,Comedy|Kids,,144,2004,10987
246,Kyokou Suiri 2nd Season,,TV,Mystery|Romance|Supernatural|Demons|Shounen,,0,2022,44204
247,Bungou Stray Dogs 4th Season,Bones,TV,Action|Comedy|Mystery|Supernatural|Super Power|Seinen,,0,0,50330
248,Freaky Highschool,,TV,Horror|School,,53,2016,35319
249,Tiantian Jiayuan,,TV,Kids,,6,2011,47960
250,Norasco (TV),Kachidoki Studio,TV,Comedy|Slice of Life,,56,2014,31019
251,Taeng-gu & Ulasyong,,TV,Action|Comedy|Mecha,,62,2001,32590
252,Chuldong! Animal Rescue,,TV,Fantasy|Sci-Fi|Kids,,13,2019,48332
253,Nukko.,Kachidoki Studio,TV,Comedy,,36,2012,22585
254,Happy Jozy,Kachidoki Studio,TV,Comedy,,47,2015,30411
255,Tate no Yuusha no Nariagari Season 2,Kinema Citrus|DR Movie,TV,Action|Adventure|Drama|Fantasy,,0,2022,40356
256,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,,TV,Action|Adventure|Fantasy,,0,2022,51128
257,Sai Er Hao Season 5: Lie Tian Kun Shou,,TV,Kids,,12,2015,44147
258,IDOLiSH7 3rd Season Part 2,TROYCA,TV,Music,,0,2022,46654
259,Youkaiden Nekome Kozou,,TV,Adventure|Horror|Supernatural|Psychological|Seinen,,149,1976,23351
260,Showtime!: Uta no Oneesan datte Shitai 2nd Season,,TV,Erotica,,0,0,50469
261,Fuuto Tantei,Studio Kai,TV,Action|Drama|Mystery|Supernatural|Police|Seinen,,0,2022,48649
262,Uzaki-chan wa Asobitai! 2nd Season,,TV,Comedy|Romance|Slice of Life|Ecchi,,0,2022,42962
263,Shinkansen Henkei Robo Shinkalion Z the Animation,OLM,TV,Action|Sci-Fi|Mecha|Kids,,34,2021,46381
264,Petit Petit Muse,,TV,Horror|Cars|Kids,,95,2008,32660
265,Asa Da yo! Kaishain,DLE,TV,Comedy,,104,2016,33044
266,Oni (TV),dwarf,TV,Demons|Kids,,0,0,39474
267,Panpaka Pants O New-san,,TV,Comedy|Kids,,37,2017,35112
268,Fushigi no Yappo Shima: Pukipuki to Poi,,TV,Kids,,45,2012,33842
269,PJ Berri no Mogumogu Munyamunya,Doga Kobo,TV,Comedy,,85,2016,33835
270,Nameko: Sekai no Tomodachi,Studio Deen,TV,Comedy|Kids,,42,2016,32876
271,Zo Zo Zo Zombie-kun (TV),J.C.Staff,TV,Comedy|Kids,,59,2020,41686
272,The Legend of Huainanzi,,TV,Adventure|Fantasy|Historical,,35,2012,31892
273,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao 2nd Season,Qianqi Animation,TV,Comedy|Shoujo,,153,2017,34669
274,Semi wa Magic Cube,Durufix,TV,Action|Comedy|Fantasy,,56,2018,43684
275,Spoon-hime no Swing Kitchen,,TV,Adventure|Kids,,47,1997,30120
276,Boo Boo Boy,DLE,TV,Cars|Kids,,98,2015,30892
277,Cocomong 2,,TV,Kids,,57,2011,37943
278,Isekai Yakkyoku,Diomedéa,TV,Fantasy,,0,2022,49438
279,Shokei Shoujo no Virgin Road,J.C.Staff,TV,Action|Adventure|Fantasy,,0,2022,47162
280,Xiao Hua Xian 3rd Season: Shou Hu Tian Shi,Taomee,TV,Kids,,62,2017,40092
281,Futoku no Guild,TNK,TV,Comedy|Fantasy|Ecchi|Harem|Shounen,,0,0,51212
282,Norakuro,Eiken,TV,Comedy,,116,1970,23013
283,Wansa-kun,Mushi Production,TV,Comedy,,151,1973,6868
284,Bary-san no Imabari-ben Kouza,Kachidoki Studio,TV,Comedy,,77,2015,30989
285,Tomodachi 8-nin,Egg,TV,Comedy|Kids,,41,2011,13457
286,Feng Shu Zhan Jing 2,,TV,Adventure|Mecha|Kids,,60,2012,33792
287,Eungkka Sonata,,TV,Comedy|Fantasy|Kids,,13,2014,48307
288,Digital Tokoro-san,Polygon Pictures,TV,Comedy,,23,2000,48904
289,Neko Jockey,DLE,TV,Comedy|Kids,,68,2021,48790
290,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2nd Season",,TV,Comedy|Fantasy|Slice of Life,,0,0,50738
291,Alice Gear Aegis,Nomad,TV,Action|Sci-Fi,,0,0,50871
292,Ten Count,,TV,Boys Love|Drama|Romance,,0,0,37616
293,Chikkun Takkun,Studio Pierrot|Gallop,TV,Comedy|Sci-Fi,,133,1984,16303
294,Shimajirou no Wow!,The Answer Studio,TV,Adventure|Comedy|Fantasy|Kids,,0,2012,18941
295,Micchiri Wanko! Animation,Charaction,TV,Comedy|Kids,,80,2020,41470
296,Yukai na Animal Bus,TMS Entertainment,TV,Comedy|Kids,,73,2017,34794
297,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,Kachidoki Studio,TV,Comedy,,85,2010,33085
298,Zen-chan Two-chan,,TV,Kids,,63,1969,39450
299,Neko Jockey 2nd Season,DLE,TV,Comedy|Kids,,35,2021,50052
300,FLCL: Shoegaze,Production I.G|Nut,TV,Action|Avant Garde|Comedy|Sci-Fi|Mecha|Parody,,0,0,51305
301,Mob Psycho 100 III,Bones,TV,Action|Comedy|Slice of Life|Supernatural,,0,0,50172
